,Names,Prices,Ratings,Links,Images
0,"REDMI Note 11T 5G (Matte black, 128 GB)","₹17,999",4.2,https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBGHDXFRNVKNRTU&lid=LSTMOBGHDXFRNVKNRTUPYWDVS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXFRNVKNRTU.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/k/o/-original-imag9g3hxujubg8g.jpeg?q=70
1,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹18,799",4.3,https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBGHDXF5VWFMFQW&lid=LSTMOBGHDXF5VWFMFQWPS93EC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXF5VWFMFQW.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/q/d/d/-original-imag9g3wygd8829v.jpeg?q=70
2,"Redmi Note 11S (Space Black, 128 GB)","₹16,500",4.2,https://www.flipkart.com/redmi-note-11s-space-black-128-gb/p/itm5f3c95a8f9fab?pid=MOBGHDXJXDETBWWJ&lid=LSTMOBGHDXJXDETBWWJPTUBXV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXJXDETBWWJ.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/8/a/-original-imagbwx4ahgqxgg9.jpeg?q=70
3,"REDMI 10 Power (Power Black, 128 GB)","₹12,499",4.1,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVCWAYVV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/y/b/-original-imageftfzx8gfkys.jpeg?q=70
4,"REDMI 10 Power (Sporty Orange, 128 GB)","₹12,648",4.1,https://www.flipkart.com/redmi-10-power-sporty-orange-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFV9PCSYXV&lid=LSTMOBGHDXFV9PCSYXVGKOPWE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXFV9PCSYXV.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/g/k/-original-imageyuud3bey9hh.jpeg?q=70
5,"REDMI Note 11 Pro (Stealth Black, 128 GB)","₹18,990",4.2,https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm95bf4a8372c67?pid=MOBGCVGDNJR4SDHF&lid=LSTMOBGCVGDNJR4SDHF1DHENC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGCVGDNJR4SDHF.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/0/c/-original-imagcvg4ghr3ykge.jpeg?q=70
6,"Redmi 9A (Midnight Black, 32 GB)","₹7,789",4.3,https://www.flipkart.com/redmi-9a-midnight-black-32-gb/p/itmeabd39a0cd669?pid=MOBFVDA2RWTCFBHZ&lid=LSTMOBFVDA2RWTCFBHZC9GCG4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBFVDA2RWTCFBHZ.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/b/h/z/mi-redmi-9a-b08696xb4b-original-imafve7pnhwakaha.jpeg?q=70
7,"Note 11 PRO Plus 5G (Stealth Black, 256 GB)","₹24,450",4.3,https://www.flipkart.com/note-11-pro-plus-5g-stealth-black-256-gb/p/itm3daba4f9af065?pid=MOBGHTDJZBGQGB4Z&lid=LSTMOBGHTDJZBGQGB4ZQU2OAT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHTDJZBGQGB4Z.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/l/e/-original-imagcqrqw5rwhguk.jpeg?q=70
8,"Redmi Go (Blue, 16 GB)","₹5,049",4.2,https://www.flipkart.com/redmi-go-blue-16-gb/p/itmfgqsaszhhyyy6?pid=MOBFGQSAQYYGFNSB&lid=LSTMOBFGQSAQYYGFNSBSJBVZ2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBFGQSAQYYGFNSB.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/jyxaw7k0/mobile/f/d/f/mi-redmi-go-mzb7704in-original-imafeju5rpkdjp4g.jpeg?q=70
9,"REDMI Note 11 Pro (Star blue, 128 GB)","₹18,280",4.2,https://www.flipkart.com/redmi-note-11-pro-star-blue-128-gb/p/itme7022ee103b26?pid=MOBGHDXFFGEFRZZY&lid=LSTMOBGHDXFFGEFRZZYDPTA2Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBGHDXFFGEFRZZY.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/7/p/-original-imagcvhfpjq25hdr.jpeg?q=70
10,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","₹26,999",4.1,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-stealth-black-128-gb/p/itmd19127afbbce1?pid=MOBG9QWVZFNZDNMM&lid=LSTMOBG9QWVZFNZDNMMIXV6J1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b0b33d4d-ad08-4bf5-b928-304edcc51888.MOBG9QWVZFNZDNMM.SEARCH&ppt=None&ppn=None&ssid=gqlwwjohr40000001675838504530,https://rukminim1.flixcart.com/image/312/312/ky7lci80/mobile/j/u/r/-original-imagagf6zvvbfjjg.jpeg?q=70
